transaction_id,user_id,amount,currency,category,timestamp,location,is_fraud
81eb959b-22d3-4e31-8378-d37af09c3ac9,1048,408.98,USD,Entertainment,2025-08-28T14:51:42.963443,BS,0
43749e52-58fc-48f0-87b2-7ea914f4ca26,1919,68.08,USD,Entertainment,2025-08-14T19:03:42.964477,RS,0
fa4e552f-24d3-4b7f-8bbb-43f932414c2d,1356,167.99,USD,Books,2025-08-12T09:01:42.964477,MU,0
bf80c618-5825-4fde-a8d4-8efa619c56d6,2300,24.5,USD,Parking,2025-08-15T01:09:42.964477,SN,0
b3c9c70c-de55-46e5-a378-8341c2298988,2552,25.37,USD,Health & Fitness,2025-08-08T10:35:42.964477,TJ,0
ca5bc187-0380-4f27-a991-d5366893d03a,2456,32.67,USD,Coffee Shops,2025-08-30T16:53:42.964477,CZ,0
b18ba6bc-9a1b-40fc-b63c-07283dfd158e,184,49.11,USD,Education,2025-08-05T02:47:42.964477,VA,0
1cb5e654-5326-4c14-85af-130bfc1beb6e,1571,7.72,USD,Electronics,2025-09-02T01:27:42.964477,KI,0
723a83ae-7fbb-4755-bb2d-9f859bacf687,2891,160.51,USD,High-End Electronics,2025-08-25T13:26:42.964477,AG,0
be4f5fc2-56ab-40bd-a920-e121ac63d537,867,339.02,USD,Coffee Shops,2025-08-30T11:00:42.964477,KP,0
6fc74e73-d710-4d82-a1ff-b9f38f1e3d0c,1266,794.1,USD,Online Shopping,2025-09-01T15:33:42.964477,NG,1
a20190d7-7d43-47c6-90b2-0ab0f77ab31b,2753,89.19,USD,Home Improvement,2025-08-13T23:14:42.964477,JP,0
30c77a76-5e61-443c-a0bf-cec0b0bbc1b2,77,5.11,USD,Jewelry,2025-08-10T12:37:42.964477,RU,0
caf940c4-8c53-4e03-a0f2-3475698398a6,2524,75.47,USD,Coffee Shops,2025-08-08T02:24:42.964477,VC,0
c713c109-065d-4991-97a1-8205b1936d46,2414,77.85,USD,Charity,2025-08-12T13:56:42.964477,MW,0
19e1702b-2da6-477f-b779-7b3d342a90ae,1708,2.17,USD,Entertainment,2025-09-02T18:40:42.964477,TV,0
5a30f7bf-8b7d-4e98-8189-f9c9b0272715,976,14.86,USD,Books,2025-08-17T09:25:42.964477,MW,0
87eacbff-8475-488d-8ad1-6a29f0b17fdc,694,597.27,USD,Toys,2025-08-14T03:43:42.964477,ZM,0
6c9e9988-b8f9-4355-8e4b-cc9a133c3f83,2758,3.36,USD,Gas Stations,2025-08-19T09:40:42.964477,CU,0
3754ff71-e3b2-45ec-9b51-911722e48cc2,1613,25.88,USD,Coffee Shops,2025-08-09T08:37:42.964477,PH,0
8f3b56e8-db92-49fc-8565-570f54c21f8f,2327,210.91,USD,Groceries,2025-08-14T22:54:42.964477,RU,0
3eb33d60-22f5-41d5-86e4-4238380119c5,1992,19.15,USD,Clothing,2025-08-28T12:45:42.964477,BD,0
a864eca1-23cb-457a-b5f8-5cab46de6970,1279,14.82,USD,Charity,2025-08-22T11:16:42.964477,AL,0
39a5b822-5325-4550-a470-784d47c09cdc,1983,118.2,USD,Electronics,2025-08-19T19:20:42.964477,BT,0
62b02df4-3588-4959-ae34-49e9d575790d,1982,138.9,USD,Entertainment,2025-08-25T09:11:42.964477,US,0
89ca2b04-af6c-4d71-80c4-9c1ce62b0854,1667,120.2,USD,Subscriptions,2025-08-21T01:57:42.964477,KW,0
4c28b2c4-bc2b-466f-8b41-b26a6383f414,2540,8.76,USD,Gambling,2025-08-22T17:30:42.964477,UY,0
a332a3e8-5ddf-4f1e-851b-fdd03e096641,333,24.11,USD,Electronics,2025-08-22T05:54:42.964477,HR,0
6632ffd9-cdd8-494a-97e1-9ef0abbc2baf,716,504.72,USD,Sports Equipment,2025-08-26T12:40:42.965464,SZ,0
f91de95f-5360-4a5e-bad6-a556b443bd37,1671,894.19,USD,Parking,2025-08-19T17:38:42.965464,MV,0
c703039e-d3ea-4684-905d-c3515ef08381,2764,122.25,USD,Restaurants,2025-08-18T04:24:42.965464,MN,0
e22c9ec2-de13-4600-a478-3e4f4eddfa8e,361,12.3,USD,Utilities,2025-08-24T15:31:42.965464,CN,0
461d7f89-bd3b-4e6f-bf19-be942f240024,1491,394.89,USD,Gas Stations,2025-08-25T01:24:42.965464,TH,0
0a440387-ccb8-4ae3-a64b-1fd5d2a17630,2313,72.23,USD,Gas Stations,2025-08-25T09:05:42.965464,VA,0
25483ee8-ea10-4ff4-ac48-6c88b20bdb88,487,11.09,USD,Education,2025-08-19T16:15:42.965464,UA,0
1544bfab-a287-400f-a3c9-477227467d45,2926,135.94,USD,Utilities,2025-08-21T15:07:42.965464,BO,0
2a4dfea3-b378-4a7a-9411-790e5ce9d7b4,521,11.19,USD,Travel,2025-08-06T23:09:42.965464,GQ,0
938d337f-fae2-47a2-a2d0-8b3055e06433,1611,7.55,USD,Clothing,2025-08-03T18:28:42.965464,BE,0
6a78dd91-e5a4-44ce-8c40-9ff57cb6a12c,1065,558.48,USD,Sports Equipment,2025-08-25T11:44:42.965464,SN,0
06e7e9f1-3668-4a6e-8c0e-4b6440c5d4ad,1835,148.71,USD,Books,2025-08-22T17:15:42.965464,LI,0
8dd2556d-b12a-4e8e-bbd0-e02b5d52049b,2951,212.14,USD,Subscriptions,2025-08-13T01:51:42.965464,GT,0
460300b9-b94f-4bb7-8f28-f9b32ca0c608,2665,48.75,USD,Groceries,2025-08-12T12:33:42.965464,SD,0
4db82cc0-f650-42ee-9c74-c3d193ea5a3a,2449,134.22,USD,Subscriptions,2025-08-17T18:21:42.965464,BA,0
2c32da32-541c-45bf-96de-bd42fd9be4c0,1791,72.46,USD,Travel,2025-09-02T00:59:42.965464,VE,0
e2c422c7-7f89-454c-9a4e-3466735562f9,1028,353.49,USD,Books,2025-08-05T16:50:42.965464,GM,0
9ec8ff04-e4c8-4f2e-840b-14b72bf04dbb,2296,43.74,USD,Electronics,2025-08-06T03:02:42.965464,ET,0
957c8fbe-4035-4dd2-a933-8e11e5362dca,2802,39.04,USD,Sports Equipment,2025-08-08T21:43:42.965464,LS,0
f7b39d78-9603-4681-a65a-015e4cc6c081,45,138.91,USD,Health & Fitness,2025-08-22T22:30:42.965464,CV,0
4c53c394-311e-485a-8d06-515fb2cfd084,1675,9.35,USD,Subscriptions,2025-08-26T21:54:42.965464,LI,0
c2047068-9975-4891-b825-e65fcf11a225,2020,187.57,USD,Parking,2025-08-26T17:56:42.965464,SG,0
6a4aad83-9642-4a0c-a081-01701d0c0886,1994,29.9,USD,Night Clubs,2025-08-27T20:20:42.965464,CR,0
9fea6c12-3a8c-4d00-8d98-4dec7173c00f,2294,666.94,USD,Education,2025-08-04T12:34:42.965464,VU,0
5edb9fde-4b6a-40e7-a5bd-a26283e1670c,2487,37.2,USD,Subscriptions,2025-08-31T08:44:42.965464,RW,0
9cca2e88-abc7-42c1-8208-167338ecc981,2493,333.77,USD,Subscriptions,2025-08-29T12:33:42.965464,SR,0
8f264046-5167-4bdc-adba-72183b2adc90,1570,32.02,USD,Gas Stations,2025-08-26T15:46:42.965464,CZ,0
e26c54ab-0e07-43b2-b86d-ebfe28d15431,301,136.11,USD,Toys,2025-09-02T20:30:42.965464,SG,0
7d5d36a9-c020-4e3c-aad9-9adf279c01f6,459,1.65,USD,Cryptocurrency,2025-08-18T00:39:42.965464,US,1
8efdacac-fd19-442e-a970-cc471b592d94,1429,214.96,USD,Sports Equipment,2025-08-14T23:01:42.965464,TJ,0
40608917-919e-46dd-89b3-055538cbe9bf,1520,63.98,USD,Night Clubs,2025-08-06T02:14:42.965464,CR,0
27822564-0437-4e99-b37d-5a1dab8757f5,1466,171.48,USD,Pharmacy,2025-08-30T02:06:42.966481,CO,0
ee3a1cee-9a19-45b0-a15a-54955fc11f79,489,26.44,USD,Groceries,2025-08-26T20:53:42.966481,VE,0
1cc90c15-7587-4dec-aa9a-1b4701365e87,1887,208.05,USD,Sports Equipment,2025-08-22T11:07:42.966481,DE,0
fb825c63-3b89-4613-b956-766405c47b7a,80,25.05,USD,Gas Stations,2025-08-10T20:53:42.966481,ZM,0
742f4de6-2c9d-4e55-ae0e-de216736ceec,2810,1300.82,USD,High-End Electronics,2025-08-12T05:01:42.966481,BG,0
a0eb37af-110d-4da6-9f5f-894180c49bc1,1336,98.01,USD,Sports Equipment,2025-08-27T14:25:42.966481,CN,0
0a4166d8-364a-4435-9316-bfc2dfa671ee,232,5.48,USD,Clothing,2025-08-23T17:27:42.966481,SI,0
28661c37-3c8b-455a-948d-2e593cca359d,2085,12.93,USD,Home Improvement,2025-08-03T22:33:42.966481,MV,0
698a0272-53ef-492e-b419-db14e74a56a8,1401,144.43,USD,Gambling,2025-08-28T18:36:42.966481,HR,0
008651bd-1d8a-4072-95e1-1ea4458977d0,325,665.01,USD,Education,2025-08-07T19:56:42.966481,LY,0
e6a0c842-ffc4-4892-8a2b-8e84b03c3e2e,2682,136.59,USD,Subscriptions,2025-08-18T07:02:42.966481,RU,0
4f57f94b-cd36-4749-86a5-2a746685f808,1453,66.47,USD,Restaurants,2025-08-24T16:02:42.966481,KE,0
8dfe9a96-8a1a-4beb-a5a5-7c19d7a2d8c3,2327,243.03,USD,Charity,2025-08-16T01:54:42.966481,BD,0
efae02b5-ddb8-43ff-9272-adeb0550b406,1060,22.58,USD,Gifts,2025-08-20T01:54:42.966481,JM,0
e9b443ee-4748-4672-af2d-0615ea456b6a,143,68.38,USD,Home Improvement,2025-08-30T19:24:42.966481,ZA,0
ad121368-c963-4937-a49b-7b279e0bb52b,216,132.88,USD,Clothing,2025-08-26T01:40:42.966481,DZ,0
34dfc807-3e07-4421-b078-cdc0acafd3ec,1952,40.71,USD,Home Improvement,2025-08-05T12:39:42.966481,YE,0
f541888d-4e63-4138-a7d7-4540ffdba0a0,1942,102.99,USD,Jewelry,2025-08-21T07:39:42.966481,NO,0
adafb643-df4e-4139-a923-3bb76025c6c5,1643,19.19,USD,Utilities,2025-08-21T05:15:42.966481,AF,0
241ac35c-d275-419f-a054-e6d21f78ab07,2662,8.43,USD,Sports Equipment,2025-08-19T11:34:42.966481,PS,0
ae1e4fb2-baae-4d21-aaad-be1d449a03f1,56,119.81,USD,Pharmacy,2025-08-22T21:03:42.966481,GN,0
8ccdc387-86c0-4378-a72c-ddf982620e39,630,309.51,USD,Furniture,2025-08-21T15:16:42.966481,TH,0
add0f20e-339f-46aa-9b98-ae367bc9b640,2690,20.84,USD,Utilities,2025-08-04T03:18:42.966481,VU,0
68dab78f-399e-4136-86e4-6fa617272ff0,1873,3.12,USD,Night Clubs,2025-08-23T01:57:42.966481,GB,1
85fda445-b0d8-4ff1-96a4-e0c5d979c47a,1532,31.92,USD,Luxury Goods,2025-08-22T05:05:42.966481,MC,0
b74d3cb7-4553-49cc-b453-3231cacf2bef,2756,96.54,USD,Clothing,2025-08-12T12:03:42.966481,HN,0
